COG Functional Category	COG
A	13001
AB	53
ABK	1
ABO	22
AD	35
ADK	166
ADL	95
AEIJ	1
AEJ	1
AF	2
AH	1
AI	7
AJ	496
AK	20
AL	49
AO	90
AT	135
ATY	16
AU	1
AV	29
B	3306
BD	549
BDL	109
BDLT	220
BDLTU	246
BDT	4
BI	1
BK	1347
BKL	9
BKO	20
BL	55
BQ	6213
BT	186
C	1078768
CD	11
CDZ	81
CE	9267
CEF	6
CEG	339
CEGO	22
CEH	190
CEK	3
CET	127
CF	453
CG	9224
CGM	38
CGU	1
CH	20946
CHI	44
CHJ	3
CHQ	84
CHT	19
CI	3204
CIQ	48
CJ	1437
CJQ	598
CK	1411
CKT	259
CL	650
CM	222
CMN	1
CMO	1
CMT	10
CNT	10
CNU	1
CO	29198
COP	30
COT	75
COTV	176
CP	19648
CQ	3433
CT	1914
CU	92
D	133527
DE	442
DEGMUZ	209
DEOZ	18
DETZ	15
DEZ	53
DF	4
DFJ	9
DFL	5
DFM	4
DG	13
DGZ	1
DHM	19
DI	1
DIOT	2
DIZ	3
DJ	1026
DJL	14
DK	106
DKL	121
DKLT	27
DKLTZ	20
DKMT	5
DKT	178
DL	250
DM	4468
DMNUW	3
DMO	2
DMOTZ	13
DMPZ	16
DMQZ	20
DMUZ	252
DMZ	34
DN	90
DNT	15
DNU	7
DNZ	38
DO	912
DOT	1
DOTZ	14
DOZ	168
DP	14
DPTZ	1
DT	1140
DTUZ	3
DTZ	990
DU	80
DUZ	34
DV	19
DY	23
DZ	14207
E	941853
EF	4843
EFG	1
EFGP	12
EFQ	9
EG	40799
EGH	46
EGHP	54
EGIP	40
EGIPQ	25
EGKLT	4
EGKP	2
EGM	86
EGMP	14
EGN	12
EGO	3
EGP	44726
EGPQ	6
EGPT	78
EGT	47
EH	44746
EHJ	9
EHP	252
EHT	1
EI	5671
EIJ	4
EIOV	49
EIP	24
EJ	2180
EJM	15
EJN	1
EK	2776
EKLT	21
EKT	103
EL	87
ELM	5
EM	5361
EMQ	6
EMT	85
EN	100
ENT	31
ENU	9
EO	1007
EP	16250
EPT	496
EQ	22971
EQT	1
ET	14954
EU	9218
EUW	29
EV	28
F	288045
FG	3991
FGMQ	462
FGQ	19
FGV	112
FH	518
FI	4
FIM	12
FJ	4317
FJK	5
FK	18
FKLPT	1
FL	596
FM	87
FN	2
FO	33
FP	4476
FPT	2
FQ	278
FT	429
G	635438
GH	369
GI	133
GIM	67
GIV	11
GJ	128
GJM	278
GK	5829
GKLMT	1
GKLT	6
GKT	250
GL	98
GM	47777
GMN	29
GMNQU	4
GMO	45
GMOU	422
GMPQ	20
GMQ	61
GMT	1
GMU	14
GMV	5
GMW	88
GN	543
GNQ	99
GNT	1
GNU	2
GO	542
GOQ	94
GOT	128
GOU	141
GP	657
GPT	80
GPU	175
GQ	1249
GT	4847
GU	30
GUW	45
GV	166
H	461378
HI	462
HIQ	12
HJ	7742
HJK	65
HJM	781
HJO	208
HK	760
HKLT	2
HKT	15
HL	209
HLP	3
HM	276
HMU	64
HO	43
HP	4161
HPT	9
HQ	1211
HT	19
I	423183
IJ	154
IJM	25
IJT	24
IK	344
IKOT	10
IKT	27
IL	12
IM	5088
IMO	91
IMQ	14
IMU	6
IMV	5
IN	23
IO	19
IOQU	6
IOT	111
IP	144
IQ	145262
IQT	1
IT	1168
IU	4002
IV	18
IZ	1
J	543190
JK	368
JKL	3972
JL	101
JM	5049
JMQU	23
JMU	67
JO	17
JOU	1
JP	16
JPQ	17
JQ	81
JT	58
JU	29
JUY	28
K	511825
KL	11217
KLMO	1
KLMT	18
KLNT	25
KLNTU	3
KLO	114
KLOT	98
KLPT	75
KLT	75711
KLTU	1555
KLTV	9
KLV	17
KM	176
KMO	1
KMT	403
KMU	3
KNT	157
KNTU	33
KNU	101
KO	2247
KOT	586
KP	265
KPT	2
KQ	1315
KQT	1
KT	54104
KTU	251
KTV	15
KU	882
KV	8
L	736959
LM	266
LMNU	21
LMU	1
LNT	5
LNU	194
LO	1046
LOT	2
LP	20
LQ	22
LT	322
LU	3311
LV	800
M	837492
MN	231
MNO	257
MNOQ	62
MNOU	32
MNQU	5
MNU	246
MO	1139
MOP	36
MOQ	394
MOT	141
MOV	20
MOW	2
MP	1843
MPQ	11
MPT	14
MPU	40
MQ	4060
MQU	1200
MT	842
MU	30133
MUW	270
MV	568
MW	105
MZ	3
N	78023
NO	161
NOT	4
NOU	2466
NP	61
NPT	159
NPTU	760
NPU	1
NQ	54
NQU	3
NT	35195
NTU	708
NU	89467
NUW	7
O	451364
OP	379
OPQ	1
OPT	1
OPTVW	2
OPU	74
OQ	1239
OT	2506
OTU	68
OU	10893
OV	23
OW	55
P	721431
PQ	1542
PQU	29
PQV	1
PT	8491
PTU	1
PTVW	3
PU	10
PV	5
PZ	2
Q	345630
QT	549
QU	7045
QUW	119
QV	59
QVW	1
S	2224863
T	617299
TU	726
TUZ	52
TV	438
TW	71
TZ	322
U	206456
UW	5340
UY	779
UZ	79
V	268060
VW	56
W	584
Y	88
Z	7671
NA	550106
